Date, Open, High, Low, Close
09/11/08, 25549.29, 25623.74, 25187.84, 25549.29
09/10/08, 25273.60, 25611.78, 25115.15, 25273.60
09/09/08, 25320.51, 26290.79, 25320.04, 25320.51
09/08/08, 26238.12, 26406.22, 25416.67, 26238.12
09/05/08, 25416.67, 26190.09, 25416.67, 25416.67
09/04/08, 26190.09, 26855.24, 26190.09, 26190.09
09/03/08, 26532.11, 26747.82, 26325.28, 26532.11
09/02/08, 26747.82, 26913.34, 26255.37, 26747.82
09/01/08, 26857.09, 27702.06, 26857.09, 26857.09
08/29/08, 27702.06, 28170.07, 27543.46, 27702.06
08/28/08, 28027.74, 28027.74, 27329.71, 28027.74
08/27/08, 27426.59, 27426.59, 26933.94, 27426.59
08/26/08, 27023.37, 27023.37, 26449.68, 27023.37
08/25/08, 26703.51, 27256.65, 26703.51, 26703.51
08/22/08, 27161.34, 27469.65, 27002.91, 27161.34
08/21/08, 27064.87, 27064.87, 26476.72, 27064.87
08/20/08, 26794.25, 26794.25, 26270.46, 26794.25
08/19/08, 26270.46, 26806.03, 26211.41, 26270.46
08/18/08, 26806.03, 27464.75, 26806.03, 26806.03
08/15/08, 27246.63, 27819.88, 27130.66, 27246.63
08/14/08, 27819.88, 27832.47, 27035.65, 27819.88
08/13/08, 27035.65, 27104.17, 26868.20, 27035.65
08/12/08, 26922.36, 26960.95, 26643.47, 26922.36
08/11/08, 26960.95, 27302.00, 26740.37, 26960.95
08/08/08, 26759.92, 26866.18, 26425.07, 26759.92
08/07/08, 26664.58, 27180.06, 26664.58, 26664.58
08/06/08, 26945.35, 27213.05, 26410.98, 26945.35
08/05/08, 26410.98, 26438.54, 25446.34, 26410.98
08/04/08, 25875.63, 26507.85, 25875.63, 25875.63
08/01/08, 26504.58, 27719.67, 26504.58, 26504.58
07/31/08, 27719.67, 28207.05, 27552.65, 27719.67
07/30/08, 27767.57, 27767.57, 27164.09, 27767.57
07/29/08, 27164.09, 27373.69, 27014.64, 27164.09
07/28/08, 27320.04, 27343.67, 26995.80, 27320.04
07/25/08, 26995.80, 27430.12, 26851.68, 26995.80
07/24/08, 27430.12, 27653.51, 27270.89, 27430.12
07/23/08, 27373.79, 27546.62, 27136.92, 27373.79
07/22/08, 27265.45, 28011.45, 27254.31, 27265.45
07/21/08, 27701.50, 27970.99, 27610.09, 27701.50
07/18/08, 27610.09, 27995.64, 27533.38, 27610.09
07/17/08, 27995.64, 27995.64, 26876.95, 27995.64
07/16/08, 26876.95, 27538.02, 26828.08, 26876.95
07/15/08, 27079.11, 27720.65, 27079.11, 27079.11
07/14/08, 27720.65, 27969.02, 27665.34, 27720.65
07/11/08, 27735.64, 28062.86, 27460.04, 27735.64
07/10/08, 27687.48, 28009.41, 27650.78, 27687.48
07/09/08, 28009.41, 28009.41, 27519.72, 28009.41
07/08/08, 27611.63, 28173.95, 27610.96, 27611.63
07/07/08, 28173.95, 28548.25, 27885.02, 28173.95
07/04/08, 28172.28, 28616.06, 28045.13, 28172.28
07/03/08, 28392.19, 29303.69, 28149.70, 28392.19
07/02/08, 29303.69, 30136.42, 29279.15, 29303.69
07/01/08, 30003.76, 30507.10, 29859.85, 30003.76
06/30/08, 30413.43, 30757.09, 30375.47, 30413.43
06/27/08, 30375.47, 30375.47, 29613.68, 30375.47
06/26/08, 29988.12, 30249.56, 29750.97, 29988.12
06/25/08, 29964.55, 30222.88, 29882.91, 29964.55
06/24/08, 30222.88, 30784.39, 30121.44, 30222.88
06/23/08, 30473.44, 30893.41, 30370.91, 30473.44
06/20/08, 30580.63, 31295.46, 30577.17, 30580.63
06/19/08, 31295.46, 31369.40, 30842.84, 31295.46
06/18/08, 30981.81, 31608.21, 30942.75, 30981.81
06/17/08, 31451.04, 31535.02, 31067.56, 31451.04
06/13/08, 31067.56, 31089.10, 30666.46, 31067.56
06/12/08, 31033.30, 31033.30, 30405.58, 31033.30
06/11/08, 30639.95, 31181.48, 30559.31, 30639.95
06/10/08, 31047.43, 31487.15, 30765.83, 31047.43
06/09/08, 31487.15, 31775.19, 31424.96, 31487.15
06/06/08, 31696.42, 32172.43, 31570.09, 31696.42
06/05/08, 31741.26, 31817.39, 31182.87, 31741.26
06/04/08, 31480.36, 31688.24, 31249.31, 31480.36
06/03/08, 31688.24, 31825.05, 31492.69, 31688.24
06/02/08, 31727.76, 32067.60, 31649.73, 31727.76
05/30/08, 31841.27, 31894.20, 31337.53, 31841.27
05/29/08, 31894.20, 32309.08, 31675.47, 31894.20
05/28/08, 32208.96, 32464.77, 32001.74, 32208.96
05/27/08, 32464.77, 32760.05, 32292.00, 32464.77
05/26/08, 32722.22, 32768.24, 32334.69, 32722.22
05/23/08, 32542.39, 33232.89, 32542.39, 32542.39
05/22/08, 33232.89, 33309.82, 32907.72, 33232.89
05/21/08, 32907.72, 32975.95, 32756.62, 32907.72
05/20/08, 32958.55, 33263.15, 32834.34, 32958.55
05/19/08, 33191.80, 33191.80, 32700.98, 33191.80
05/16/08, 32700.98, 32965.68, 32647.43, 32700.98
05/15/08, 32647.43, 32647.43, 32126.67, 32647.43
05/14/08, 32387.01, 32476.76, 31999.02, 32387.01
05/13/08, 31999.02, 32181.03, 31803.29, 31999.02
05/12/08, 32145.49, 32272.91, 32034.47, 32145.49
05/09/08, 32136.15, 32440.90, 32001.93, 32136.15
05/08/08, 32153.48, 32153.48, 31710.92, 32153.48
05/07/08, 31894.69, 32068.53, 31820.10, 31894.69
05/06/08, 31929.09, 31947.11, 31299.93, 31929.09
05/05/08, 31299.93, 31440.33, 30743.49, 31299.93
04/30/08, 30743.49, 30772.81, 30408.85, 30743.49
04/29/08, 30584.00, 31154.85, 30584.00, 30584.00
04/25/08, 31090.15, 31434.96, 30998.28, 31090.15
04/24/08, 31194.01, 31740.75, 31132.72, 31194.01
04/23/08, 31740.75, 31986.40, 31424.05, 31740.75
04/22/08, 31713.29, 31796.90, 31512.02, 31713.29
04/21/08, 31774.10, 32039.89, 31594.07, 31774.10
04/18/08, 31594.07, 31974.37, 31404.39, 31594.07
04/17/08, 31699.12, 32130.75, 31647.86, 31699.12
04/16/08, 31857.30, 31961.46, 31280.19, 31857.30
04/15/08, 31280.19, 31320.54, 30772.35, 31280.19
04/14/08, 30772.35, 30838.28, 30545.05, 30772.35
04/11/08, 31121.55, 31508.86, 30835.36, 31121.55
04/10/08, 31215.17, 31439.82, 30906.78, 31215.17
04/09/08, 31360.12, 31360.12, 30806.45, 31360.12
04/08/08, 30821.13, 30970.19, 30598.24, 30821.13
04/07/08, 30970.19, 31015.97, 30396.34, 30970.19
04/04/08, 30396.34, 30510.85, 29980.09, 30396.34
04/03/08, 29980.09, 30139.62, 29856.82, 29980.09
04/02/08, 29932.97, 30152.93, 29627.64, 29932.97
04/01/08, 29627.64, 29678.41, 29322.49, 29627.64
03/31/08, 29587.51, 30050.88, 29582.18, 29587.51
03/28/08, 29962.18, 30266.76, 29871.19, 29962.18
03/27/08, 30095.06, 30270.44, 29693.15, 30095.06
03/26/08, 29693.15, 29759.46, 29152.42, 29693.15
03/25/08, 29152.42, 29266.47, 28418.73, 29152.42
03/20/08, 28418.73, 29509.06, 28239.10, 28418.73
03/19/08, 29509.06, 30637.04, 29509.06, 29509.06
03/18/08, 30044.07, 30044.37, 29430.41, 30044.07
03/17/08, 29928.07, 30648.03, 29241.26, 29928.07
03/14/08, 30648.03, 30859.55, 30306.92, 30648.03
03/13/08, 30306.92, 30710.52, 30246.61, 30306.92
03/12/08, 30710.52, 30710.52, 30212.87, 30710.52
03/11/08, 30212.87, 30426.67, 29813.72, 30212.87
03/10/08, 30114.87, 30717.58, 29986.82, 30114.87
03/07/08, 30717.58, 31125.04, 30669.44, 30717.58
03/06/08, 31079.15, 31187.42, 30519.83, 31079.15
03/05/08, 30519.83, 30885.02, 30340.17, 30519.83
03/04/08, 30885.02, 31062.49, 30626.84, 30885.02
03/03/08, 30631.57, 30857.83, 30237.63, 30631.57
02/29/08, 30673.74, 30673.74, 30108.86, 30673.74
02/28/08, 30166.32, 30340.63, 29939.64, 30166.32
02/27/08, 30058.10, 30691.03, 29807.97, 30058.10
02/26/08, 30297.29, 30306.04, 29734.73, 30297.29
02/25/08, 29813.37, 30072.14, 29609.44, 29813.37
02/22/08, 29848.89, 30181.77, 29841.94, 29848.89
02/21/08, 30181.77, 30255.88, 29489.68, 30181.77
02/20/08, 29489.68, 29572.22, 29231.77, 29489.68
02/19/08, 29572.22, 29741.10, 29018.06, 29572.22
02/18/08, 29018.06, 29018.06, 28505.82, 29018.06
02/15/08, 28505.82, 29039.56, 28431.80, 28505.82
02/14/08, 29039.56, 29141.37, 28502.23, 29039.56
02/13/08, 28502.23, 28685.08, 28265.55, 28502.23
02/12/08, 28585.60, 28585.60, 27633.00, 28585.60
02/11/08, 27633.00, 28016.39, 27633.00, 27633.00
02/08/08, 27945.55, 28021.23, 27648.34, 27945.55
02/07/08, 27749.09, 28111.04, 27687.30, 27749.09
02/06/08, 27881.38, 28026.64, 26939.97, 27881.38
02/05/08, 27764.03, 28825.26, 27691.17, 27764.03
02/04/08, 28619.54, 29151.40, 28449.01, 28619.54
02/01/08, 28751.87, 28751.87, 27317.14, 28751.87
01/31/08, 27317.14, 27480.68, 27005.42, 27317.14
01/30/08, 27068.16, 27068.16, 26208.38, 27068.16
01/29/08, 26442.71, 26638.39, 25692.87, 26442.71
01/28/08, 25692.87, 26502.23, 25604.47, 25692.87
01/25/08, 26502.23, 26865.04, 26150.36, 26502.23
01/24/08, 26463.13, 26463.13, 25135.13, 26463.13
01/23/08, 25135.13, 26087.49, 24825.40, 25135.13
01/22/08, 25397.17, 25948.70, 24005.35, 25397.17
01/21/08, 25423.69, 26652.66, 25261.00, 25423.69
01/18/08, 26652.66, 27039.97, 26232.99, 26652.66
01/17/08, 27039.97, 27135.37, 26218.50, 27039.97
01/16/08, 26911.50, 27635.97, 26513.23, 26911.50
01/15/08, 27635.97, 28007.42, 27635.97, 27635.97
01/14/08, 27951.19, 28080.32, 27310.70, 27951.19
01/11/08, 27509.25, 28094.18, 27509.25, 27509.25
01/10/08, 27903.94, 28632.68, 27872.02, 27903.94
01/09/08, 28400.78, 28937.43, 28266.11, 28400.78
01/08/08, 28937.43, 28941.05, 28533.21, 28937.43
01/07/08, 28640.42, 28979.73, 28471.83, 28640.42
01/04/08, 28979.73, 29627.44, 28915.01, 28979.73
01/03/08, 29124.84, 29290.15, 28896.67, 29124.84
01/02/08, 29290.15, 29389.67, 28957.97, 29290.15
12/31/07, 28957.97, 29701.68, 28957.97, 28957.97
12/28/07, 29634.65, 29781.39, 29505.68, 29634.65
12/27/07, 29781.39, 29931.39, 29505.36, 29781.39
12/24/07, 29505.36, 29676.36, 29331.99, 29505.36
12/21/07, 29331.99, 29331.99, 28460.90, 29331.99
12/20/07, 28460.90, 28540.06, 28112.89, 28460.90
12/19/07, 28112.89, 28690.90, 27765.56, 28112.89
12/18/07, 28526.34, 28708.00, 27966.46, 28526.34
